Mfr Name,Name,Carline,MPG
Porsche,911 Carrera 4S Cabriolet,Porsche - Minicompact Cars,21
Porsche,911 Carrera 4S Cabriolet,Porsche - Minicompact Cars,21
Porsche,911 Carrera Cabriolet,Porsche - Minicompact Cars,23
Porsche,911 Carrera Cabriolet,Porsche - Minicompact Cars,22
Porsche,911 Carrera GTS,Porsche - Minicompact Cars,21
Porsche,911 Carrera GTS,Porsche - Minicompact Cars,21
Porsche,911 Carrera GTS Cabriolet,Porsche - Minicompact Cars,21
Porsche,911 Carrera GTS Cabriolet,Porsche - Minicompact Cars,20
Porsche,911 Carrera S,Porsche - Minicompact Cars,23
Porsche,911 Carrera S,Porsche - Minicompact Cars,22
Porsche,911 Carrera S Cabriolet,Porsche - Minicompact Cars,22
Porsche,911 Carrera S Cabriolet,Porsche - Minicompact Cars,22
Porsche,911 Targa 4,Porsche - Minicompact Cars,22
Porsche,911 Targa 4,Porsche - Minicompact Cars,21
Porsche,911 Targa 4 GTS,Porsche - Minicompact Cars,21
Porsche,911 Targa 4 GTS,Porsche - Minicompact Cars,21
Porsche,911 Targa 4S,Porsche - Minicompact Cars,21
Porsche,911 Targa 4S,Porsche - Minicompact Cars,21
Porsche,911 Turbo,Porsche - Minicompact Cars,20
Porsche,911 Turbo Cabriolet,Porsche - Minicompact Cars,20
Porsche,911 Turbo S,Porsche - Minicompact Cars,20
Porsche,911 Turbo S Cabriolet,Porsche - Minicompact Cars,20
Toyota,FR-S,Toyota - Minicompact Cars,28
Toyota,FR-S,Toyota - Minicompact Cars,25
Subaru,BRZ,Subaru - Minicompact Cars,28
Subaru,BRZ,Subaru - Minicompact Cars,25
aston martin,Rapide S,aston martin - Subcompact Cars,17
Volkswagen Group of America,A3,Volkswagen Group of America - Subcompact Cars,27
Volkswagen Group of America,A3 Cabriolet,Volkswagen Group of America - Subcompact Cars,28
Volkswagen Group of America,A3 Cabriolet quattro,Volkswagen Group of America - Subcompact Cars,26
Volkswagen Group of America,A3 quattro,Volkswagen Group of America - Subcompact Cars,27
Volkswagen Group of America,A5 Cabriolet quattro,Volkswagen Group of America - Subcompact Cars,24
Volkswagen Group of America,A5 quattro,Volkswagen Group of America - Subcompact Cars,25
Volkswagen Group of America,A5 quattro,Volkswagen Group of America - Subcompact Cars,26
Volkswagen Group of America,S3,Volkswagen Group of America - Subcompact Cars,26
Volkswagen Group of America,S5,Volkswagen Group of America - Subcompact Cars,21
Volkswagen Group of America,S5,Volkswagen Group of America - Subcompact Cars,20
Volkswagen Group of America,S5 Cabriolet,Volkswagen Group of America - Subcompact Cars,21
Volkswagen Group of America,TT Coupe quattro,Volkswagen Group of America - Subcompact Cars,26
Volkswagen Group of America,TTS Coupe,Volkswagen Group of America - Subcompact Cars,25
Volkswagen Group of America,Continental GT Convertible,Volkswagen Group of America - Subcompact Cars,17
